time (s),lead_II (mV)
0.0,1.9287498479639044e-23
0.002000400080016003,1.3974917609836664e-22
0.004000800160032006,9.728455067811464e-22
0.006001200240048009,6.506684794306355e-21
0.008001600320064013,4.1811613736851e-20
0.010002000400080016,2.5814003266449237e-19
0.012002400480096018,1.5312110749879213e-18
0.014002800560112022,8.726418410195362e-18
0.016003200640128026,4.7781334298455215e-17
0.01800360072014403,2.5136325062956273e-16
0.020004000800160033,1.2704762904482528e-15
0.022004400880176037,6.169537598644004e-15
0.024004800960192037,2.878458257126731e-14
0.02600520104020804,1.2902935497454327e-13
0.028005601120224044,5.556974278536643e-13
0.030006001200240048,2.2993734735687252e-12
0.03200640128025605,9.1411727661212e-12
0.03400680136027205,3.4915284667469025e-11
0.03600720144028806,1.2812991183296491e-10
0.03800760152030406,4.517589208563722e-10
0.040008001600320066,1.5303269172978592e-09
0.042008401680336066,4.980614941320419e-09
0.04400880176035207,1.557410100145221e-08
0.04600920184036807,4.678905529621362e-08
0.048009601920384073,1.3505380864319664e-07
0.05001000200040008,3.745334971506405e-07
0.05201040208041608,9.97920088573272e-07
0.05401080216043209,2.5545954520729106e-06
0.05601120224044809,6.283039268216886e-06
0.058011602320464095,1.4846999136767036e-05
0.060012002400480095,3.370768001026378e-05
0.0620124024804961,7.352589362909486e-05
0.0640128025605121,0.0001540894945753116
0.06601320264052811,0.00031026087976364873
0.0680136027205441,0.0006002086893791982
0.07001400280056011,0.0011155750878065359
0.07201440288057612,0.0019921250939025944
0.07401480296059212,0.00341787105978498
0.07601520304060812,0.005633989242550047
0.07801560312062412,0.008922727337991957
0.08001600320064013,0.0135768962855006
0.08201640328065612,0.019848360934767634
0.08401680336067213,0.027878542640049138
0.08601720344068814,0.037621556146604694
0.08801760352070415,0.048778081338146304
0.09001800360072014,0.06076226321144982
0.09201840368073615,0.07272176981547972
0.09401880376075215,0.0836211638143433
0.09601920384076815,0.09238240105011508
0.09801960392078415,0.09805811791444799
0.10002000400080016,0.09999979992017616
0.10202040408081617,0.0979796714274398
0.10402080416083216,0.09223464834695955
0.10602120424084817,0.08342063354971485
0.10802160432086418,0.07248933927643436
0.11002200440088018,0.06051960274872751
0.11202240448089618,0.04854441433988642
0.11402280456091218,0.03741138041183297
0.11602320464092819,0.027700618768665752
0.11802360472094418,0.019705909202914568
0.12002400480096019,0.013468671306898806
0.1220244048809762,0.008844520672104431
0.1240248049609922,0.00558014029706043
0.1260252050410082,0.0033824953246870204
0.1280256051210242,0.0019699289458248266
0.1300260052010402,0.0011022628953728196
0.13202640528105622,0.0005925719432458912
0.13402680536107223,0.0003060682295761408
0.1360272054410882,0.00015188563031642366
0.1380276055211042,7.24163104607684e-05
0.14002800560112022,3.3172436425801206e-05
0.14202840568113623,1.4599554936954516e-05
0.14402880576115223,6.173381736493454e-06
0.14602920584116824,2.508002233014778e-06
0.14802960592118425,9.78935267430051e-07
0.15003000600120023,3.671142992085433e-07
0.15203040608121624,1.322726019131371e-07
0.15403080616123224,4.5788852751355943e-08
0.15603120624124825,1.5228982862471927e-08
0.15803160632126426,4.8663495031298985e-09
0.16003200640128026,1.494019954241841e-09
0.16203240648129627,4.406435194281826e-10
0.16403280656131225,1.2401980310939895e-10
0.16603320664132826,1.9722650171387776e-11
0.16803360672134426,-1.908199706716985e-10
0.17003400680136027,-2.377360518762093e-09
0.17203440688137628,-2.4158481851190425e-08
0.17403480696139229,-2.0899707612507226e-07
0.1760352070414083,-1.5405885580780803e-06
0.17803560712142427,-9.676492416634657e-06
0.18003600720144028,-5.1788618437248175e-05
0.1820364072814563,-0.00023617600380899077
0.1840368073614723,-0.0009177455639799408
0.1860372074414883,-0.0030387424845946913
0.1880376075215043,-0.008573350541773857
0.19003800760152031,-0.020610681135612503
0.1920384076815363,-0.042220093169825376
0.1940388077615523,-0.07369382691262782
0.1960392078415683,-0.10960443112288792
0.19803960792158432,-0.1389025422145438
0.20004000800160032,-0.14999519815609866
0.20204040808161633,-0.13801605118151558
0.20404080816163234,-0.1082098808092102
0.20604120824164834,-0.07229184676675424
0.20804160832166432,-0.04115253737529448
0.21004200840168033,-0.019957186343570587
0.21204240848169634,-0.007885172963349337
0.21404280856171234,0.008937465447273606
0.21604320864172835,0.1404062148655421
0.21804360872174436,0.6195306142351859
